,Currency,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,TRX,2017-12-18,0.0011,0.1,0.0011,0.0399749,1194619.70944246,1890.0
1,TRX,2017-12-25,0.0399749,0.06399998,0.0342975,0.041,3984635.33689105,3731.0
2,TRX,2018-01-01,0.03760001,0.047,0.031,0.04525589,3329427.02016543,4029.0
3,TRX,2018-01-08,0.051,0.261,0.049,0.1768,1092452.69216985,1800.0
4,TRX,2018-01-15,0.18301899,0.19199999,0.09520945,0.10059995,1659225.29408218,3400.0
5,TRX,2018-01-22,0.09800001,0.11549999,0.05777777,0.092011,3410030.50206513,5831.0
6,TRX,2018-01-29,0.0777,0.07830003,0.065,0.06957705,2504506.65086344,4756.0
7,TRX,2018-02-05,0.07,0.07058192,0.0313,0.038076,135510640.82770658,18560.0
8,TRX,2018-02-12,0.038076,1.0,0.021,0.04599,351296483.3531323,43689.0
9,TRX,2018-02-19,0.04205,0.07,0.042,0.05285517,226617661.51699802,37411.0
10,TRX,2018-02-26,0.05314671,0.055,0.03825,0.039801,142676524.9110919,23290.0
11,TRX,2018-03-05,0.03998,0.057,0.0381,0.04817,229818804.11386126,31894.0
12,TRX,2018-03-12,0.04806,0.0498,0.03001,0.03842,168790331.58659235,24365.0
13,TRX,2018-03-19,0.04000852,0.04399,0.023061,0.03038839,138818922.38843435,21553.0
14,TRX,2018-03-26,0.028971,0.053,0.028322,0.045,391364028.8135105,53016.0
15,TRX,2018-04-02,0.04760045,0.056,0.028,0.032,523745509.57063323,66885.0
16,TRX,2018-04-09,0.03228,0.0485,0.028751,0.03777269,421078887.3159822,51412.0
17,TRX,2018-04-16,0.03795347,0.04486,0.033668,0.043496,340939996.08185613,41875.0
18,TRX,2018-04-23,0.0433,0.05694001,0.039721,0.0518,335660622.8064273,37116.0
19,TRX,2018-04-30,0.0518,0.09,0.0518,0.08823,637315672.758143,59938.0
20,TRX,2018-05-07,0.088299,0.106,0.07503,0.0845,422296997.6834867,41223.0
21,TRX,2018-05-14,0.084679,0.09499,0.05601,0.07378,244930926.19622356,23391.0
22,TRX,2018-05-21,0.073779,0.085,0.0625,0.07856407,220180911.15479827,20417.0
23,TRX,2018-05-28,0.077121,0.08699,0.0648,0.07014,287650148.3483502,28710.0
24,TRX,2018-06-04,0.07,0.075,0.055737,0.0617,250175966.29704493,24796.0
25,TRX,2018-06-11,0.0617,0.06665,0.044633,0.047314,117458444.89167565,16961.0
26,TRX,2018-06-18,0.047073,0.05599997,0.037415,0.04462,127647781.53504132,15083.0
27,TRX,2018-06-25,0.0439,0.05299999,0.037791,0.042136,135211716.20104828,15707.0
28,TRX,2018-07-02,0.04215,0.046,0.034499,0.037972,70089988.51534083,9625.0
29,TRX,2018-07-09,0.03897493,0.04285,0.03609,0.0376,75588153.76547138,7842.0
30,TRX,2018-07-16,0.03781,0.04183,0.0310127,0.0363,65252686.07968508,7139.0
31,TRX,2018-07-23,0.034388,0.044,0.033764,0.03514,103830779.8436688,11590.0
32,TRX,2018-07-30,0.03509,0.04156,0.032891,0.039126,133652661.6276978,12961.0
33,TRX,2018-08-06,0.039126,600.0,0.028147,0.03355255,119176082.96561594,19005.0
34,TRX,2018-08-13,0.031,0.03349404,0.021768,0.025,167632802.15166605,23990.0
35,TRX,2018-08-20,0.022484,0.02598187,0.016,0.022011,172079892.8850955,23274.0
36,TRX,2018-08-27,0.02212,0.0245,0.019004,0.0229,97531590.77363642,13196.0
37,TRX,2018-09-03,0.022789,0.0285,0.0222001,0.0258,160639866.07711118,23466.0
38,TRX,2018-09-10,0.025745,0.026999,0.018718,0.0193,117604100.5698494,13118.0
39,TRX,2018-09-17,0.01942,0.02390787,0.01700012,0.01998493,121147735.30829722,15024.0
40,TRX,2018-09-24,0.02,0.031,0.018,0.023802,249064958.09608018,23925.0
41,TRX,2018-10-01,0.02383988,0.03,0.02,0.023,168275310.25589383,23835.0
42,TRX,2018-10-08,0.0222,0.03,0.02,0.027,172499039.6442133,25605.0
43,TRX,2018-10-15,0.026995,0.03,0.02,0.022,224798389.04612404,33994.0
44,TRX,2018-10-22,0.023765,0.027989,0.022,0.024504,132657722.97594976,22118.0
45,TRX,2018-10-29,0.0245,0.03101,0.022,0.023561,45900023.64054259,9288.0
46,TRX,2018-11-05,0.023553,0.0255,0.0205,0.023669,59870372.94748455,9183.0
47,TRX,2018-11-12,0.023834,0.0252183,0.022,0.02353398,65070167.14776803,9484.0
48,TRX,2018-11-19,0.02298,0.02389724,0.016,0.018936,113292850.76172698,13275.0
49,TRX,2018-11-26,0.018928,0.023,0.01,0.012557,220403442.6931101,19784.0
50,TRX,2018-12-03,0.012564,0.01789999,0.01,0.01570004,158671141.00053594,14689.0
51,TRX,2018-12-10,0.01428,0.016,0.012,0.0139387,104024582.18631667,11044.0
52,TRX,2018-12-17,0.013798,0.0152,0.00995,0.013288,72270305.63898297,6831.0
53,TRX,2018-12-24,0.013193,0.0233332,0.01177,0.021163,196838184.04209185,21365.0
54,TRX,2018-12-31,0.0214,0.025,0.018,0.020555,124260772.74857745,13991.0
55,TRX,2019-01-07,0.02009614,0.02470441,0.018,0.02340723,127343855.24616303,12954.0
56,TRX,2019-01-14,0.023525,0.036,0.02,0.0215,335026918.42695475,40985.0
57,TRX,2019-01-21,0.021523,0.028,0.02098,0.024666,179257250.37690625,23865.0
58,TRX,2019-01-28,0.0247311,0.03185,0.023,0.029402,136603730.0517571,21044.0
59,TRX,2019-02-04,0.029354,0.02986957,0.023,0.0257541,126667356.99116658,16776.0
60,TRX,2019-02-11,0.0257034,0.029699,0.024,0.026204,130380033.72773632,18218.0
61,TRX,2019-02-18,0.02615,0.02715744,0.02201,0.023,82630197.19987398,12156.0
