Date,Open,High,Low,Close,Adj Close,Volume
2017-09-04,0.063780,0.063780,0.000001,0.002094,0.002094,187058
2017-09-11,0.002086,2.310000,0.000138,0.003346,0.003346,414140
2017-09-18,0.003853,117989312.000000,0.000260,0.002247,0.002247,542829
2017-09-25,0.002344,30997000.000000,0.000737,0.001884,0.001884,281497
2017-10-02,0.001840,5217704.500000,0.001707,0.002689,0.002689,1666841
2017-10-09,0.002580,0.003390,0.001419,0.002250,0.002250,90993
2017-10-16,0.002970,0.003920,0.001770,0.002650,0.002650,99690
2017-10-23,0.002650,0.004690,0.002150,0.002690,0.002690,17473
2017-10-30,0.002690,0.003700,0.002020,0.002480,0.002480,10783
2017-11-06,0.002480,0.003100,0.001570,0.001850,0.001850,11500
2017-11-13,0.001850,0.002630,0.001750,0.001960,0.001960,31422
2017-11-20,0.001960,0.003000,0.001830,0.002080,0.002080,41250
2017-11-27,0.002080,0.002940,0.001860,0.002000,0.002000,49435
2017-12-04,0.002000,0.005910,0.001900,0.004140,0.004140,331458
2017-12-11,0.004140,0.040930,0.004090,0.034170,0.034170,2340780
2017-12-18,0.034000,0.069690,0.020720,0.038120,0.038120,7930571
2017-12-25,0.036150,0.050880,0.028800,0.048620,0.048620,5190945
2018-01-01,0.048620,0.387600,0.042310,0.218200,0.218200,66520179
2018-01-08,0.216300,0.219000,0.084290,0.086140,0.086140,29320512
2018-01-15,0.086140,0.108500,0.041350,0.071900,0.071900,19664800
2018-01-22,0.071760,0.082920,0.060090,0.066650,0.066650,7558124
2018-01-29,0.066570,0.068610,0.032150,0.038720,0.038720,6735170
2018-02-05,0.038720,0.056880,0.025200,0.042190,0.042190,20756708
2018-02-12,0.042140,0.055510,0.042000,0.049600,0.049600,16903324
2018-02-19,0.049570,0.053410,0.038620,0.040210,0.040210,10177300
2018-02-26,0.040150,0.057000,0.038600,0.048190,0.048190,15067321
2018-03-05,0.048190,0.048490,0.030650,0.038750,0.038750,9171065
