,Currency_x,time_period_end,price_open_x,price_high_x,price_low_x,BTC_close,volume_traded_x,trades_count_x,Currency_y,price_open_y,price_high_y,price_low_y,ETH_close,volume_traded_y,trades_count_y,Open_x,High_x,Low_x,XLM_close,Adj Close_x,Volume_x,Currency,price_open,price_high,price_low,LTC_close,volume_traded,trades_count,Open_y,High_y,Low_y,TRX_close,Adj Close_y,Volume_y,Open_x,High_x,Low_x,XLM_close,Adj Close_x,Volume_x,Open_y,High_y,Low_y,TRX_close,Adj Close_y,Volume_y,Open_x,High_x,Low_x,XLM_close,Adj Close_x,Volume_x,Open_y,High_y,Low_y,TRX_close,Adj Close_y,Volume_y
0,BTC,2017-09-04,4343.5,5230.0,4164.79,4606.26,1062412.303894597,1333484.0,ETH,348.2,424.0,325.1,350.63,3752577.622042681,923572.0,0.2303,0.2329,0.1901,0.2173,0.2173,95883804,LTC,64.333,108.0,55.0,79.44,11985063.787426012,1125532.0,609.849976,718.919983,472.51000999999997,556.900024,556.900024,312123445,1.57,32.540001000000004,0.1796,0.9468,0.9468,11601268,1.3,1.3,0.6992,0.745,0.745,57981671,0.02138,0.02138,0.0158,0.01669,0.01669,5065468,0.06377999999999999,0.06377999999999999,1e-06,0.002094,0.002094,187058
1,BTC,2017-09-11,4626.05,5259.0,3672.71,4233.9,1390836.356846913,1518322.0,ETH,353.06,359.98999,225.0,297.9,5289827.342828473,1120615.0,0.2173,0.2242,0.1483,0.1814,0.1814,93660666,LTC,79.45,89.97,56.43,67.205,11473406.0171787,1030460.0,556.900024,590.169983,301.549988,439.07000700000003,439.07000700000003,254085630,0.9406,1.164,0.6481,0.7914,0.7914,18636340,0.745,0.8944,0.5149,0.6233,0.6233,32275261,0.01669,0.0182,0.00611,0.01123,0.01123,5283744,0.0020859999999999997,2.31,0.000138,0.003346,0.003346,414140
2,BTC,2017-09-18,4251.36,4628.0,2810.46,3719.0,1639051.08017491,1790075.0,ETH,300.34,319.0,174.77775566,259.1,7414975.244341036,1228461.0,0.1814,0.1946,0.1675,0.1757,0.1757,45948362,LTC,67.205,80.01,32.454,50.718,17456525.670531508,1050122.0,439.07000700000003,548.130005,395.089996,421.19000199999994,421.19000199999994,223706002,0.8795,0.9431,0.6798,0.7848,0.7848,14812349,0.6233,0.7128,0.5312,0.5454,0.5454,21760349,0.01123,0.01384,0.010190000000000001,0.01157,0.01157,3866225,0.003853,117989312.0,0.00026000000000000003,0.002247,0.002247,542829
3,BTC,2017-09-25,3719.98,4494.99,3300.0,3672.7,755679.085257386,1076316.0,ETH,257.0,303.78,250.0,282.0,3913492.310373052,901100.0,0.1757,0.2146,0.1748,0.2083,0.2083,75129454,LTC,50.718,60.0,43.852209,47.3,8209168.391556268,688869.0,421.19000199999994,481.589996,417.100006,418.049988,418.049988,172460832,0.8416,1.537,0.8129,1.523,1.523,43949557,0.5454,0.8435,0.5245,0.7085,0.7085,40938387,0.01157,0.01491,0.0113,0.013869999999999999,0.013869999999999999,2779679,0.002344,30997000.0,0.000737,0.001884,0.001884,281497
4,BTC,2017-10-02,3669.01,4499.99,3336.67,4388.74,472200.800202112,934442.0,ETH,283.21,319.0,278.0,303.25,2481832.167651315,659924.0,0.2083,0.2811,0.198,0.2799,0.2799,134367621,LTC,47.71,64.99,46.73,54.69,6025922.202417491,563975.0,418.049988,432.22000099999997,335.700012,343.519989,343.519989,185655094,1.523,1.985,1.162,1.2,1.2,54572455,0.7085,0.719,0.5712,0.606,0.606,19784708,0.013869999999999999,0.0247,0.01126,0.018619999999999998,0.018619999999999998,10969235,0.0018399999999999998,5217704.5,0.001707,0.002689,0.002689,1666841
5,BTC,2017-10-09,4394.81,4715.0,3771.0,4597.98,364896.181616981,782734.0,ETH,301.24,321.39,240.0,308.59,1628639.783575489,483928.0,0.2799,0.2802,0.233,0.2652,0.2652,210602902,LTC,54.7,56.888826,48.48,53.31,2864180.505774065,337148.0,343.519989,350.109985,282.179993,314.100006,314.100006,205170304,1.243,1.644,1.153,1.56,1.56,34334253,0.606,0.642,0.5248,0.5738,0.5738,25657378,0.018619999999999998,0.02199,0.0158,0.0188,0.0188,7534080,0.0025800000000000003,0.00339,0.001419,0.00225,0.00225,90993
6,BTC,2017-10-16,4602.51,6004.5,3500.0,5680.0,701016.700663637,1347741.0,ETH,309.83,352.99,283.0,337.23,2899963.83177065,872662.0,0.2652,0.2977,0.1954,0.2014,0.2014,231372957,LTC,53.31,74.0,47.21,65.86,8938489.339826869,912456.0,314.049988,399.859985,305.959991,325.880005,325.880005,211291516,1.58,1.627,1.16,1.24,1.24,10156846,0.574,0.5946,0.4979,0.5192,0.5192,20745337,0.018969999999999997,0.047889999999999995,0.01855,0.03138,0.03138,41956052,0.00297,0.00392,0.0017699999999999999,0.00265,0.00265,99690
7,BTC,2017-10-23,5683.92,6500.0,4850.1,5969.0,609856.833388606,1244766.0,ETH,336.89,355.88,281.597157,295.14,2458512.26839791,994283.0,0.2015,0.2169,0.183,0.2015,0.2015,72740026,LTC,65.52,74.0,52.6,56.75,5773200.158292453,771293.0,324.880005,523.080017,300.26001,451.910004,451.910004,453470339,1.186,1.35,1.081,1.236,1.236,13793645,0.5189,0.6793,0.4776,0.6668,0.6668,22833543,0.0314,0.0429,0.0295,0.03021,0.03021,12017753,0.00265,0.00469,0.00215,0.0026899999999999997,0.0026899999999999997,17473
8,BTC,2017-10-30,5982.4,6500.5,4780.0,6132.76,617167.4614233989,1252992.0,ETH,295.14,325.24,271.54,304.39,1660977.7746984032,915418.0,0.2015,0.2263,0.1755,0.1997,0.1997,80848783,LTC,56.75,60.96,51.174,56.59,3735338.0066891536,783709.0,451.910004,686.210022,416.059998,625.719971,625.719971,861710743,1.231,1.73,1.197,1.525,1.525,17118668,0.6671,1.42,0.6409,1.09,1.09,152142037,0.03021,0.032139999999999995,0.02345,0.026639999999999997,0.026639999999999997,7166787,0.0026899999999999997,0.0037,0.00202,0.00248,0.00248,10783
9,BTC,2017-11-06,6150.0,7899.99,4780.0,7366.7,755455.0704716541,1708218.0,ETH,303.21,314.4,274.0,295.63,2096217.68739901,1303720.0,0.1997,0.2235,0.1861,0.1915,0.1915,132600623,LTC,56.59,61.49,49.022,54.67,3666691.857569183,902770.0,625.719971,2694.3701170000004,522.789978,1374.390015,1374.390015,2204832380,1.441,2.167,1.406,1.519,1.519,46428033,1.09,1.21,0.9015,1.09,1.09,80148978,0.026639999999999997,0.0399,0.0263,0.02854,0.02854,15125472,0.00248,0.0031,0.00157,0.00185,0.00185,11500
