Date,Open,High,Low,Close,Adj Close,Volume
2017-08-14,2.990000,3.290000,1.200000,1.590000,1.590000,1712
2017-08-15,1.520000,1.520000,1.090000,1.430000,1.430000,2950
2017-08-16,1.500000,2.260000,1.340000,2.260000,2.260000,2963
2017-08-17,2.250000,2.250000,1.200000,1.930000,1.930000,1753
2017-08-18,1.880000,1.880000,1.880000,1.880000,1.880000,0
2017-08-19,1.890000,1.890000,1.890000,1.890000,1.890000,0
2017-08-20,1.920000,1.920000,1.920000,1.920000,1.920000,0
2017-08-21,2.070000,2.070000,2.070000,2.070000,2.070000,0
2017-08-22,2.020000,2.020000,2.020000,2.020000,2.020000,0
2017-08-23,2.040000,2.040000,2.040000,2.040000,2.040000,0
2017-08-24,2.790000,2.830000,2.270000,2.410000,2.410000,20965
2017-08-25,2.450000,3.270000,2.390000,2.570000,2.570000,17431
2017-08-26,2.590000,2.660000,2.130000,2.460000,2.460000,10561
2017-08-27,2.570000,2.570000,1.670000,1.930000,1.930000,9860
2017-08-28,1.930000,2.360000,1.840000,1.880000,1.880000,3472
2017-08-29,2.010000,2.230000,1.940000,2.090000,2.090000,8257
2017-08-30,2.150000,3.260000,2.010000,2.260000,2.260000,15662
2017-08-31,2.290000,2.660000,2.070000,2.100000,2.100000,5383
2017-09-01,2.110000,2.540000,2.080000,2.350000,2.350000,5442
2017-09-02,2.110000,2.810000,1.860000,2.030000,2.030000,9686
2017-09-03,2.040000,2.910000,1.620000,1.820000,1.820000,15106
2017-09-04,1.570000,1.570000,0.795700,1.350000,1.350000,22799
2017-09-05,1.410000,1.410000,0.874300,1.020000,1.020000,8816
2017-09-06,1.080000,32.540001,0.179600,0.982900,0.982900,19509
2017-09-07,0.972600,3.220000,0.972600,1.380000,1.380000,335161
2017-09-08,1.298000,1.312000,0.888700,1.008000,1.008000,6519138
2017-09-09,1.010000,1.038000,0.862700,0.970600,0.970600,2586303
2017-09-10,0.950700,0.988900,0.874700,0.946800,0.946800,2109542
2017-09-11,0.940600,1.105000,0.914900,1.046000,1.046000,3922334
2017-09-12,1.031000,1.164000,0.989800,1.038000,1.038000,5026475
2017-09-13,0.966400,0.966400,0.863100,0.937400,0.937400,1709487
2017-09-14,0.785500,0.792000,0.658300,0.688200,0.688200,2159068
2017-09-15,0.788100,0.846700,0.648100,0.802500,0.802500,3131090
2017-09-16,0.799300,0.906200,0.750900,0.799700,0.799700,1952481
2017-09-17,0.797700,0.816900,0.765200,0.791400,0.791400,735405
2017-09-18,0.879500,0.943100,0.861900,0.905300,0.905300,3040708
2017-09-19,0.862900,0.875400,0.781600,0.825400,0.825400,2309388
2017-09-20,0.819900,0.819900,0.741500,0.776400,0.776400,2212893
2017-09-21,0.723500,0.731400,0.680000,0.701800,0.701800,1783757
2017-09-22,0.698600,0.716600,0.679800,0.715800,0.715800,1684262
2017-09-23,0.753400,0.780300,0.749300,0.771600,0.771600,1885065
2017-09-24,0.747100,0.784800,0.733500,0.784800,0.784800,1896276
2017-09-25,0.841600,0.934400,0.812900,0.926200,0.926200,3031821
2017-09-26,0.916700,0.934200,0.856800,0.864200,0.864200,2527097
2017-09-27,0.935100,1.219000,0.926700,1.153000,1.153000,7091140
2017-09-28,1.149000,1.435000,1.135000,1.375000,1.375000,11321883
2017-09-29,1.368000,1.390000,1.160000,1.273000,1.273000,7114651
2017-09-30,1.330000,1.370000,1.246000,1.289000,1.289000,5213538
2017-10-01,1.302000,1.537000,1.279000,1.523000,1.523000,7649427
2017-10-02,1.523000,1.985000,1.514000,1.970000,1.970000,16508456
2017-10-03,1.931000,1.982000,1.678000,1.842000,1.842000,12349832
