,Currency,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,BCHABC,2018-11-26,218.11321664,250.0,153.0,188.50353742,124.62382936,1267.0
1,BCHABC,2018-12-03,188.56392333,205.60241939,157.05656,178.99805061,81.89041286,1039.0
2,BCHABC,2018-12-10,171.00802477,178.88455132,101.003,109.54153681,59.93218679,650.0
3,BCHABC,2018-12-17,115.15909562,118.05917479,71.0,71.0,17.2686344,421.0
4,BCHABC,2018-12-24,78.00000001,250.70722013,77.77777777,203.17448807,229.80787725,2806.0
5,BCHABC,2018-12-31,210.84202235,224.49999999,152.00000002,169.80636823,131.93119276,1721.0
6,BCHABC,2019-01-07,169.75512177,195.73320236,151.0,176.00000002,67.61712954,623.0
7,BCHABC,2019-01-14,176.83459394,179.3,130.0404065,132.52714602,99.78000995,1021.0
8,BCHABC,2019-01-21,134.99999999,150.44442942,131.22302562,137.27206691,34.14135402,607.0
9,BCHABC,2019-01-28,137.40275139,145.787878,131.50795534,132.50000151,54.29984831,829.0
10,BCHABC,2019-02-04,132.50000172,132.50000292,111.0,127.15047354,17.47323147,300.0
11,BCHABC,2019-02-11,127.15047914,140.7744,119.37249475,134.56823359,21.66173403,316.0
12,BCHABC,2019-02-18,126.68865766,140.7744,126.61145502,128.00000126,53.91794227,361.0
13,BCHABC,2019-02-25,136.27048777,180.0,134.00000115,140.85842808,78.4892534,770.0
14,BCHABC,2019-03-04,140.8584284,160.13011948,135.28005807,138.85201188,42.78106501,467.0
15,BCHABC,2019-03-11,138.7559542,154.99999999,125.0001,136.30811528,10.36541823,186.0
16,BCHABC,2019-03-18,136.38185705,165.0,133.10137496,160.11135624,28.22991704,381.0
17,BCHABC,2019-03-25,162.22942699,177.24546,145.0,169.07129854,31.94896102,342.0
18,BCHABC,2019-04-01,169.69171079,179.99,147.86274786,170.97905052,18.02243064,292.0
19,BCHABC,2019-04-08,173.22301675,378.0,169.8896096,325.68703293,133.22860613,1874.0
20,BCHABC,2019-04-15,326.00000191,334.99999596,273.000001,303.0,60.49473834,637.0
21,BCHABC,2019-04-22,300.00000095,349.9999,298.07300064,301.455,61.58486006,869.0
22,BCHABC,2019-04-29,307.67994331,324.48849936,266.99434398,266.99434398,50.10208217,558.0
23,BCHABC,2019-05-06,270.00000187,310.0,253.00129258,303.37999999,20.04065807,520.0
24,BCHABC,2019-05-13,297.18669023,372.41905083,279.75045514,362.18523847,69.74828477,692.0
25,BCHABC,2019-05-20,362.16577227,448.71799892,350.00000001,412.00000343,144.55148336,1196.0
26,BCHABC,2019-05-27,412.00000255,429.99999998,376.0100009,429.99999998,34.96289943,448.0
27,BCHABC,2019-06-03,413.42183346,475.99999256,390.0,440.80557329,130.68843258,1024.0
28,BCHABC,2019-06-10,440.83429189,446.82399009,385.0,396.06901117,35.69694438,658.0
29,BCHABC,2019-06-17,396.96460232,436.0,393.33063782,425.76653905,26.00950247,689.0
30,BCHABC,2019-06-24,421.05722026,464.39499997,360.01,448.85624758,114.85373906,1660.0
31,BCHABC,2019-07-01,458.85787767,499.99999886,324.00899999,418.5,126.03068118,1855.0
32,BCHABC,2019-07-08,420.76556343,432.567,394.75,413.99269557,24.61770613,585.0
33,BCHABC,2019-07-15,419.08179399,429.99999997,304.115,304.115,42.41681828,610.0
34,BCHABC,2019-07-22,302.51303532,350.0,276.53075162,326.0,34.14817987,718.0
35,BCHABC,2019-07-29,324.52779409,334.46317795,300.57834407,316.78854328,8.76209027,121.0
