,Currency,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,EOS,2017-08-07,1.7481,2.0,1.645,1.7538,9889611.28462928,103337.0
1,EOS,2017-08-14,1.7505,1.9839,1.5153,1.5967,16012660.33189593,130624.0
2,EOS,2017-08-21,1.5997,1.74641,1.28,1.3593,14156989.02010997,95790.0
3,EOS,2017-08-28,1.3594,1.545,1.2,1.3441,16508985.96080804,89985.0
4,EOS,2017-09-04,1.3479,1.4361,1.1856,1.294,17334326.05322601,77675.0
5,EOS,2017-09-11,1.3008,1.305,0.6918,0.7367,58517637.3162147,129766.0
6,EOS,2017-09-18,0.74,0.8977,0.50333,0.62524,39539393.01296065,83097.0
7,EOS,2017-09-25,0.6277,0.7075,0.5321,0.54304,17925855.74432245,41817.0
8,EOS,2017-10-02,0.54231,0.8449,0.5384,0.70733,41691508.93395471,80193.0
9,EOS,2017-10-09,0.71342,0.7229,0.57,0.60439,16557003.62751066,39508.0
10,EOS,2017-10-16,0.60313,5.5,0.001,0.5716,24447564.36498963,53155.0
11,EOS,2017-10-23,0.56975,3.89999999,0.38243002,0.5177,19905441.74472677,48278.0
12,EOS,2017-10-30,0.5177,0.68,0.45,0.6651,22438338.51371214,33192.0
13,EOS,2017-11-06,0.66498,1.4196,0.63998,1.0896,133758823.53052194,165072.0
14,EOS,2017-11-13,1.0896,1.2142,0.9,1.0872,63052287.91484246,95000.0
15,EOS,2017-11-20,1.0839,2.07,1.0769,1.8791,103184088.90707348,144585.0
16,EOS,2017-11-27,1.8857,2.7,1.7,2.4577,72750416.07965572,131886.0
17,EOS,2017-12-04,2.4493,4.124,2.3608,3.5798,99027695.2603786,222899.0
18,EOS,2017-12-11,3.59,5.121,3.26,3.6969,87259371.15993953,273731.0
19,EOS,2017-12-18,3.6939,9.3,3.6503,7.9697,115469349.35040171,351173.0
20,EOS,2017-12-25,7.9885,13.00499898,3.0,7.9985,100981700.28848282,394053.0
21,EOS,2018-01-01,8.0376,9.5,6.5,7.6883,27734156.76896427,162391.0
22,EOS,2018-01-08,7.6624,11.5,7.2,10.165,27921039.80910274,194372.0
23,EOS,2018-01-15,10.151,20.0,8.1348,13.23,58752990.07609163,382164.0
24,EOS,2018-01-22,13.23,16.87999998,7.5,13.477,60898490.13350204,383603.0
25,EOS,2018-01-29,13.475,17.2,11.6,14.752,40768359.10869457,319448.0
26,EOS,2018-02-05,14.752,15.149999,8.16482,8.889,37182097.20716356,295457.0
27,EOS,2018-02-12,8.8717,11.1336,5.7917,8.75,41892751.37491338,353360.0
28,EOS,2018-02-19,8.3299,11.32395145,8.10003,9.05,22665267.64201623,174441.0
29,EOS,2018-02-26,9.05,10.9,7.4,7.6788,21427507.06257304,162084.0
30,EOS,2018-03-05,7.6913,9.88,7.3664,8.1373,17171240.96968026,129188.0
31,EOS,2018-03-12,8.14,9.3570779,5.166,6.0394,37525428.93539503,176211.0
32,EOS,2018-03-19,6.0504,7.146,3.8723,4.6108,37580735.85449706,173220.0
33,EOS,2018-03-26,4.6113,7.48,4.3847,6.4266,77940725.8574378,361613.0
34,EOS,2018-04-02,6.4299,7.2,5.1,5.5931,75046955.2434136,341570.0
35,EOS,2018-04-09,5.5931,6.5,5.393,5.9589,33848909.86352947,159467.0
36,EOS,2018-04-16,5.9673,9.88,5.7383,8.5297,95004250.83326675,484640.0
37,EOS,2018-04-23,8.5272,12.0,7.50000011,11.292,71729332.39354175,350119.0
38,EOS,2018-04-30,11.292,23.5,11.182701,21.412,139217521.7038224,808022.0
39,EOS,2018-05-07,21.41148595,21.81599,15.913,17.387,93105512.50684284,655846.0
40,EOS,2018-05-14,17.424,19.2001,12.053,14.579,97618638.76337516,559270.0
41,EOS,2018-05-21,14.6846,89.0,11.821,13.947,71027165.30152021,406127.0
42,EOS,2018-05-28,13.943,14.59928,10.2958,12.439,74207691.13057184,469144.0
43,EOS,2018-06-04,12.44,20.0,10.7,14.533,82641368.96434873,500548.0
44,EOS,2018-06-11,14.537,17.50034,10.01,10.969,75831782.62911072,502378.0
45,EOS,2018-06-18,10.969,15.5,9.0887,10.319,71405773.81458136,458804.0
46,EOS,2018-06-25,10.328,14.091,6.8926,8.046,71016792.7444754,388666.0
47,EOS,2018-07-02,8.0509,12.64,7.594e-05,8.1223,60892420.04019644,384011.0
48,EOS,2018-07-09,8.1223,12.35,7.8539,8.6943,48648920.90394078,296199.0
49,EOS,2018-07-16,8.6944,12.35,6.55,7.402,56990678.93616515,372146.0
50,EOS,2018-07-23,7.402,11.27474507,7.211,7.85,63211159.43265944,436584.0
51,EOS,2018-07-30,7.85,11.0999993,7.7107,8.3335,44186062.41111016,290569.0
52,EOS,2018-08-06,8.3311,9.80229912,6.82,7.0326,41272896.16326902,259510.0
53,EOS,2018-08-13,7.0375,8.74998937,4.8233,4.9579,73594479.19194931,414007.0
54,EOS,2018-08-20,4.958,7.73114,4.1503,5.2922,73698657.47869575,387755.0
55,EOS,2018-08-27,5.2922,7.47999,4.5026,4.9493,51243649.18006143,295848.0
56,EOS,2018-09-03,4.9494,7.49995,4.60232621,6.6419,71159488.6093533,396571.0
57,EOS,2018-09-10,6.642,7.27893,4.6091,4.9418,68823335.6587247,348503.0
58,EOS,2018-09-17,4.9374,6.69993,4.7015,5.4002,43586667.34188291,202698.0
59,EOS,2018-09-24,5.4094,6.47749,4.65,6.0256,65374546.27128547,294263.0
60,EOS,2018-10-01,6.0269,6.39998,5.0,5.7233,53266752.0247637,276951.0
61,EOS,2018-10-08,5.7191,6.10975708,5.4071,5.7625,25939263.56167996,127310.0
62,EOS,2018-10-15,5.76246968,6.33899,4.9251,5.2039,29880004.1400236,145143.0
63,EOS,2018-10-22,5.2026,6.3,5.0002,5.512,24434678.01175329,122486.0
64,EOS,2018-10-29,5.512,5.99999,5.06,5.438,7921066.20388012,56605.0
65,EOS,2018-11-05,5.438,5.96984,4.9766,5.5459,13913358.31006331,69515.0
66,EOS,2018-11-12,5.519,6.92855,5.200208,5.491,12951432.85919337,70188.0
67,EOS,2018-11-19,5.491,5.65324,4.1257,4.65,33591417.12099276,151311.0
68,EOS,2018-11-26,4.6517,4.81309703,2.86,3.4583,79372271.65253697,277591.0
69,EOS,2018-12-03,3.4039,4.10193,2.61655,2.875,44908997.50659622,158025.0
70,EOS,2018-12-10,2.874,3.14907752,1.20001,2.0467,103022221.16435704,273399.0
71,EOS,2018-12-17,2.04379729,2.38488432,1.70001,1.9479,62847302.57109348,152868.0
72,EOS,2018-12-24,1.9465,3.12796645,1.70011,2.797,104659859.59854674,300358.0
73,EOS,2018-12-31,2.8747,3.25899999,2.12,2.7549,65651819.41895885,204371.0
