Date,Open,High,Low,Close,Adj Close,Volume
2017-01-16,0.002251,0.003000,0.002250,0.002253,0.002253,5368
2017-01-23,0.002253,0.002398,0.002056,0.002200,0.002200,22435
2017-01-30,0.002200,0.002497,0.002149,0.002442,0.002442,6527
2017-02-06,0.002442,0.002442,0.001892,0.002168,0.002168,7754
2017-02-13,0.002168,0.002361,0.001892,0.001985,0.001985,626
2017-02-20,0.001985,0.002367,0.001732,0.001884,0.001884,27977
2017-02-27,0.001884,0.001934,0.001691,0.001742,0.001742,39335
2017-03-06,0.001742,0.002100,0.001401,0.001767,0.001767,68319
2017-03-13,0.001767,0.002098,0.001673,0.001701,0.001701,94254
2017-03-20,0.001701,0.002396,0.001701,0.001991,0.001991,189329
2017-03-27,0.001991,0.005100,0.001837,0.004405,0.004405,592113
2017-04-03,0.004405,0.005090,0.002501,0.002769,0.002769,930205
2017-04-10,0.002769,0.003989,0.002700,0.003623,0.003623,513202
2017-04-17,0.003623,0.003799,0.003000,0.003502,0.003502,499154
2017-04-24,0.003502,0.005500,0.002810,0.004805,0.004805,1010194
2017-05-01,0.004805,0.052000,0.004500,0.039000,0.039000,31506705
2017-05-08,0.039000,0.060000,0.019160,0.038350,0.038350,47686828
2017-05-15,0.038350,0.067000,0.037670,0.060000,0.060000,30327748
2017-05-22,0.060000,0.066000,0.020840,0.034490,0.034490,20253305
2017-05-29,0.034490,0.043280,0.027810,0.039800,0.039800,12808682
2017-06-05,0.039800,0.056420,0.037860,0.045160,0.045160,17102552
2017-06-12,0.045160,0.047380,0.029630,0.038090,0.038090,8860426
2017-06-19,0.038090,0.044650,0.028930,0.031820,0.031820,5874603
2017-06-26,0.031820,0.034080,0.021700,0.025230,0.025230,8125439
2017-07-03,0.025230,0.028010,0.017160,0.019230,0.019230,4189833
2017-07-10,0.019230,0.020300,0.012020,0.015650,0.015650,12057894
2017-07-17,0.015650,0.024070,0.015490,0.022200,0.022200,13733557
2017-07-24,0.022200,0.023140,0.015480,0.016030,0.016030,7899810
2017-07-31,0.016030,0.027150,0.015220,0.022830,0.022830,10498751
2017-08-07,0.022830,0.024730,0.017130,0.018270,0.018270,10457535
2017-08-14,0.018270,0.019170,0.015360,0.017700,0.017700,6173056
2017-08-21,0.017700,0.024000,0.016580,0.019900,0.019900,8220547
2017-08-28,0.019900,0.024560,0.019130,0.021380,0.021380,5352813
2017-09-04,0.021380,0.021380,0.015800,0.016690,0.016690,5065468
2017-09-11,0.016690,0.018200,0.006110,0.011230,0.011230,5283744
2017-09-18,0.011230,0.013840,0.010190,0.011570,0.011570,3866225
