,Currency,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,BTC,2014-01-06,732.0,1029.98765,728.0,904.0,265468.94161991,399643.0
1,BTC,2014-01-13,903.297,1093.68199,720.0,835.49,528519.66123563,800027.0
2,BTC,2014-01-20,835.49,973.2,765.0,835.9,250720.70349184,383336.0
3,BTC,2014-01-27,836.0,1038.15894,731.0,817.802,216735.46467668,283022.0
4,BTC,2014-02-03,817.802,1022.0,725.0,814.0,247780.20630799,287406.0
5,BTC,2014-02-10,796.0,960.0,619.0,697.5,442085.13289037,395505.0
6,BTC,2014-02-17,697.5,761.6646,100.0,625.0,960861.09686892,594805.0
7,BTC,2014-02-24,299.72277,679.05833,91.5,598.002,797405.5516794,673626.0
8,BTC,2014-03-03,598.002,650.0,101.62872,554.003,776137.4343014,569921.0
9,BTC,2014-03-10,565.38,720.0,550.42,630.497,401539.4838236,446676.0
10,BTC,2014-03-17,627.024,684.5,550.0,634.99,144622.83777118,214835.0
11,BTC,2014-03-24,624.89,646.0,537.11,568.0,203736.16956719,234303.0
12,BTC,2014-03-31,558.22,641.14149,423.92,447.75,381166.88676706,395286.0
13,BTC,2014-04-07,465.028,550.0,386.51,463.06,391005.13313632,499679.0
14,BTC,2014-04-14,463.07,583.75327,325.0,411.997,445175.95011977,466039.0
15,BTC,2014-04-21,417.6,573.66927,401.134,496.25,455434.28171716,415652.0
16,BTC,2014-04-28,489.53,524.69,425.4,430.0,235528.36212422,217346.0
17,BTC,2014-05-05,430.0,465.88,412.971,435.05,186710.09699644,199855.0
18,BTC,2014-05-12,438.58799899,459.65,411.391,434.8,156141.30214839,156351.0
19,BTC,2014-05-19,432.568,490.0,428.0,440.649,78420.94502659,108707.0
20,BTC,2014-05-26,440.599,598.66,423.75,572.6,284747.08763345,293310.0
21,BTC,2014-06-02,573.5,687.35,446.0,628.53,319241.76906881,343691.0
22,BTC,2014-06-09,627.436,694.84,525.0,644.541,253093.54490335,278632.0
23,BTC,2014-06-16,644.54,672.0,522.15,588.55,285590.37316494,270685.0
24,BTC,2014-06-23,592.0,627.05395,560.0,603.4,151275.06724929,187609.0
25,BTC,2014-06-30,600.34,610.47,554.45,601.5,137152.05880486,168799.0
26,BTC,2014-07-07,601.95,699.99,587.724,630.311,183447.61952592,228501.0
27,BTC,2014-07-14,626.76,653.49,603.7,630.88,102366.79179797,139780.0
28,BTC,2014-07-21,621.667,634.18,605.0,624.0,92686.99362363,112024.0
29,BTC,2014-07-28,624.0,629.76875,575.0,594.75,111034.3464482,129537.0
30,BTC,2014-08-04,591.5,607.2,100.0,588.91,159563.678671689,177712.0
31,BTC,2014-08-11,588.96,608.96,572.186,593.76,93994.87814492,123521.0
32,BTC,2014-08-18,586.1,596.68,451.0,496.86,309275.96863977,355143.0
33,BTC,2014-08-25,498.0,538.42,320.0,511.73,331325.8783708,418979.0
34,BTC,2014-09-01,511.84,529.51,471.65,480.55,154096.25052487,284544.0
35,BTC,2014-09-08,480.54,527.0,461.136,484.29,132700.62687849,210004.0
36,BTC,2014-09-15,484.3,524.77,456.3,475.49,166309.54854807,232522.0
37,BTC,2014-09-22,478.46,527.99987,370.0,402.54,576581.34206222,509464.0
38,BTC,2014-09-29,384.1,452.99999,295.0,383.87,310482.40696605,352687.0
39,BTC,2014-10-06,369.25,398.7,273.32564,315.888,502193.8871647,447543.0
40,BTC,2014-10-13,319.9,399.996,260.53,378.05,604129.75478568,498592.0
41,BTC,2014-10-20,371.4,449.53,339.14,385.75,413852.92081717,379369.0
42,BTC,2014-10-27,385.63,398.98,337.51,353.01,311511.70955634,284754.0
43,BTC,2014-11-03,350.24,381.37,315.54,323.774,300746.50799252,253002.0
44,BTC,2014-11-10,323.19,1000.0,318.0,361.26,300120.7894408,249615.0
45,BTC,2014-11-17,362.1,489.5,350.04915,385.26,737941.666994,546272.0
46,BTC,2014-11-24,385.27,450.0,339.618,369.3,387433.89797722,367413.0
47,BTC,2014-12-01,369.21,397.16,327.79,375.3,322315.85190534,326214.0
48,BTC,2014-12-08,375.39,394.59,360.0,376.67,193432.58772465,255160.0
49,BTC,2014-12-15,376.67,378.34,332.51,356.52,283572.36927847,296382.0
50,BTC,2014-12-22,354.51,377.53,302.32,325.54,397233.15915193,361858.0
51,BTC,2014-12-29,325.54,377.91,307.0,319.21,206298.09831798,241588.0
52,BTC,2015-01-05,319.21,338.95292,255.0,267.98,350323.92166597,284605.0
53,BTC,2015-01-12,267.88,305.09,252.31554,263.849,393402.32871493,332810.0
54,BTC,2015-01-19,262.954,318.99,110.2,211.03,1440520.13082735,956247.0
55,BTC,2015-01-26,210.98,265.0,201.98,254.73,620818.54821399,481271.0
56,BTC,2015-02-02,253.29,387.7,205.00002,230.13,1016458.92529649,690354.0
57,BTC,2015-02-09,230.16,261.25,210.12,224.98,584524.77896985,504566.0
58,BTC,2015-02-16,223.92,271.46,205.0,235.54,789717.02776906,546479.0
59,BTC,2015-02-23,232.0,265.63,224.266,236.5,636144.9527671,480122.0
60,BTC,2015-03-02,236.83,266.91,225.0,253.389,526094.49848219,489781.0
61,BTC,2015-03-09,252.682,303.01,247.0,275.02,811208.23833034,590732.0
62,BTC,2015-03-16,275.47,324.41,267.69,285.19,653244.10564482,510441.0
63,BTC,2015-03-23,287.43,303.11,233.79,269.44,706755.3665661,503745.0
64,BTC,2015-03-30,268.43,280.2,234.07,242.63,657491.7804131,488219.0
65,BTC,2015-04-06,242.9,268.99959,234.083,261.18,474251.10322425,366353.0
66,BTC,2015-04-13,260.75,279.7,227.055,236.17,474470.54492586,377902.0
67,BTC,2015-04-20,236.69,242.99,210.0,221.99,552646.49132155,372183.0
68,BTC,2015-04-27,222.54,244.14,210.86,219.53,489931.93910427,392904.0
69,BTC,2015-05-04,219.57,259.082,215.364,240.83,523640.26831716,460741.0
70,BTC,2015-05-11,239.97,250.0,226.42,239.96,547745.10277918,372018.0
71,BTC,2015-05-18,238.09,249.99,229.71,235.98,398800.89587844,316571.0
72,BTC,2015-05-25,235.98,245.0,229.0,243.27,359457.06840992,348461.0
73,BTC,2015-06-01,243.27,260.0,227.0,230.51,344365.49881626,467577.0
74,BTC,2015-06-08,231.199,235.0,219.03,222.41,442971.60477865,435427.0
75,BTC,2015-06-15,223.6,239.0,219.5,235.59,421332.27600147,670584.0
76,BTC,2015-06-22,235.59,261.55,215.56,244.12,584123.45236842,892344.0
77,BTC,2015-06-29,244.12,260.0,233.01,248.37,351281.8520536,702616.0
78,BTC,2015-07-06,246.764,277.32,239.1,268.284,559901.053038,728742.0
79,BTC,2015-07-13,271.39,318.23,244.84,311.14,804619.6997905,865636.0
80,BTC,2015-07-20,311.14,312.91,207.028,275.04,585390.94912296,602363.0
81,BTC,2015-07-27,275.04,294.57,246.2,291.81,349579.87875895,512346.0
82,BTC,2015-08-03,291.51,325.0,275.0,282.62,317911.05646235,306691.0
83,BTC,2015-08-10,278.998,290.0,251.96,263.13,354504.77616391,335476.0
