,Currency,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,ETH,2016-03-14,10.297,15.074,10.097,14.456,710.091024,240.0
1,ETH,2016-03-21,14.531,14.95,8.338,10.268,148878.39686072,13130.0
2,ETH,2016-03-28,10.219,12.47,10.14,10.407,75073.98706272,6741.0
3,ETH,2016-04-04,10.446,12.3,10.4,11.61,71115.01253707,5803.0
4,ETH,2016-04-11,11.61,11.665,7.52,8.931,109309.61865124,6017.0
5,ETH,2016-04-18,8.9299,10.899,6.855,9.29,133657.47771377,8761.0
6,ETH,2016-04-25,9.29,9.55,7.73,8.1919,143288.37839948,9867.0
7,ETH,2016-05-02,8.1735,9.36,7.1205,8.7911,258171.11032695,13779.0
8,ETH,2016-05-09,8.83,11.0,7.15,9.51,225786.86970497,12377.0
9,ETH,2016-05-16,9.5,12.0,9.252,10.008,205921.60693633,13120.0
10,ETH,2016-05-23,9.968,14.89,9.968,14.21,668246.38508196,29663.0
11,ETH,2016-05-30,14.224,14.49,10.384,12.45,614111.21588901,28587.0
12,ETH,2016-06-06,12.482,14.3,12.3,13.895,438532.5794282,18080.0
13,ETH,2016-06-13,13.97,16.087,13.561,15.778,492038.64989989,26695.0
14,ETH,2016-06-20,15.778,22.0,10.0,12.251,3974523.34933633,126799.0
15,ETH,2016-06-27,12.251,15.9,10.51,14.02,1677915.32955265,61868.0
16,ETH,2016-07-04,13.745,14.59,11.513,12.02,801336.96628872,27432.0
17,ETH,2016-07-11,11.753,11.99,9.31,10.96,998586.99679838,31340.0
18,ETH,2016-07-18,11.0,12.75,10.11,11.255,747672.71258016,24109.0
19,ETH,2016-07-25,11.255,15.39,11.0,12.771,2636570.08925092,72088.0
20,ETH,2016-08-01,12.71,14.01,11.303,11.876,1881563.88679827,77435.0
21,ETH,2016-08-08,11.87,12.041,9.0,10.99,656683.35954568,39450.0
22,ETH,2016-08-15,10.99,12.91,10.94,11.28,809270.88861422,48340.0
23,ETH,2016-08-22,11.28,11.52,10.61,11.21,593707.76433996,33065.0
24,ETH,2016-08-29,11.17,11.47,10.85,11.01,286274.17618701,21172.0
25,ETH,2016-09-05,11.01,12.598,10.781,11.737,403720.28920407,32889.0
26,ETH,2016-09-12,11.77,12.298,11.264,11.65,363488.12188495,27483.0
27,ETH,2016-09-19,11.684,13.101,11.632,12.45,710017.12007729,41012.0
28,ETH,2016-09-26,12.447,15.4,12.33,13.08,692263.79904709,54244.0
29,ETH,2016-10-03,13.08,13.58,12.81,13.28,330601.37290778,31654.0
30,ETH,2016-10-10,13.29,13.58,11.99,12.1,457760.22227516,33912.0
31,ETH,2016-10-17,12.1,12.33,11.6,11.95,431571.76920267,33978.0
32,ETH,2016-10-24,11.95,12.94,11.811,11.94,469593.42216381,44872.0
33,ETH,2016-10-31,11.93,12.23,9.23786,11.19,815239.6313331,70810.0
34,ETH,2016-11-07,11.2,13.5,10.35,11.01,603760.97235026,58847.0
35,ETH,2016-11-14,11.01,11.211,9.56002,10.14,521807.52483181,44845.0
36,ETH,2016-11-21,10.13,13.0,9.40036,9.6,496453.24600704,40844.0
37,ETH,2016-11-28,9.58,18.0,5.0,8.98,467165.58532613,33552.0
38,ETH,2016-12-05,8.97,9.04919,7.1,7.37,1054145.85002455,46472.0
39,ETH,2016-12-12,7.39,12.0,5.861,8.23,1287549.04912359,54237.0
40,ETH,2016-12-19,8.23,8.626,4.5,7.8803,584156.42483917,38870.0
41,ETH,2016-12-26,7.9039,7.98554,7.01,7.1826,645493.14500845,47331.0
42,ETH,2017-01-02,7.18,8.6,7.01012,8.18,1062753.48496854,69552.0
43,ETH,2017-01-09,8.2,13.8,6.0,10.5,2362720.96793214,172153.0
44,ETH,2017-01-16,10.359,10.839,9.082,9.728,269049.35271131,11556.0
45,ETH,2017-01-23,9.7419,11.035,9.53,10.664,456313.16583402,16335.0
46,ETH,2017-01-30,10.671,11.1971,10.35,10.43361,176604.19789213,4710.0
47,ETH,2017-02-06,10.46999,11.46718,10.376,11.133,391304.90911449,9010.0
48,ETH,2017-02-13,11.217,13.79,10.409,11.5,773596.81014191,87759.0
49,ETH,2017-02-20,11.5,14.7,11.05,12.9,1403257.44284547,98513.0
50,ETH,2017-02-27,12.7813,14.84,10.0,14.568,1354444.1942276,87580.0
51,ETH,2017-03-06,14.567,54.89,14.25,19.4,3931555.33185053,168518.0
52,ETH,2017-03-13,19.39,24.95,13.3,23.39,3707123.55943772,179934.0
53,ETH,2017-03-20,23.38,57.67,23.16007,43.167,9076697.24210756,503006.0
54,ETH,2017-03-27,43.05,58.989,37.6,51.083,3724094.72375938,323493.0
55,ETH,2017-04-03,50.74,56.9999,41.84776534,48.74,2661843.39949057,270181.0
56,ETH,2017-04-10,48.32507,54.999,40.737595,43.937,2543981.57590455,251242.0
