,Currency,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,LTC,2014-01-06,23.5,28.75,23.49,26.252,73975.25424166,5945.0
1,LTC,2014-01-13,26.45,32.0,20.4,24.552,148387.3014172,11125.0
2,LTC,2014-01-20,24.55,24.95,22.45,24.2,42141.89791622,3988.0
3,LTC,2014-01-27,24.249,24.6,19.0,22.05975102,72882.32780091,5523.0
4,LTC,2014-02-03,22.11,22.75,19.04,22.2,71103.8151877,4751.0
5,LTC,2014-02-10,22.2,22.28,16.99,18.23,231317.22826251,7417.0
6,LTC,2014-02-17,18.25,19.03999999,14.0,15.94,117588.7207023,5588.0
7,LTC,2014-02-24,15.691001,16.74,13.9,15.634,83675.60096085,4748.0
8,LTC,2014-03-03,15.602,15.64899899,10.71000001,12.78,124682.59974034,10086.0
9,LTC,2014-03-10,13.077998,19.16,11.351,16.49,168663.7886264,9266.0
10,LTC,2014-03-17,16.3,17.9,15.63,17.6,49077.70150444,4767.0
11,LTC,2014-03-24,17.59999999,20.9,15.0,15.415,339113.00079038,14939.0
12,LTC,2014-03-31,15.43,16.75,12.5101,13.008,212380.57935309,11796.0
13,LTC,2014-04-07,12.98,14.5,10.313,11.75,210303.61012758,8807.0
14,LTC,2014-04-14,11.74,11.96989999,8.3,10.5,276610.78174048,13497.0
15,LTC,2014-04-21,10.5,14.1999,10.0001,12.4052,267860.53399462,13012.0
16,LTC,2014-04-28,12.4895,13.2499,9.7115,10.0,1557336.0100596,110212.0
17,LTC,2014-05-05,9.77,11.49,9.60235,10.47,1317011.89614689,106818.0
18,LTC,2014-05-12,10.2621,11.232,9.72,10.3,974847.19173051,75335.0
19,LTC,2014-05-19,10.3,10.701,10.1277,10.338,341777.326204,29584.0
20,LTC,2014-05-26,10.338,12.0,10.1712,11.604,1408004.71742271,107161.0
21,LTC,2014-06-02,11.5,11.9,10.55,11.109,283350.55045755,20792.0
22,LTC,2014-06-09,11.1,11.809,10.62575,11.132,249220.16546813,17025.0
23,LTC,2014-06-16,11.132,11.389,9.0,9.88,868935.16367839,75298.0
24,LTC,2014-06-23,9.98,10.3,9.261,9.6379,498439.55006738,41946.0
25,LTC,2014-06-30,9.63842,9.99695,8.71235,8.87854,420610.5884473,37372.0
26,LTC,2014-07-07,8.88509,9.1759,2.8,7.098,1041374.2889999,73620.0
27,LTC,2014-07-14,7.098,9.6,6.9,8.89336,1282373.509502489,74994.0
28,LTC,2014-07-21,8.953,10.0,8.2,8.57,668687.857352,41848.0
29,LTC,2014-07-28,8.57,8.6796,7.031,7.805,753180.272274989,46466.0
30,LTC,2014-08-04,7.79,8.8,6.97,7.45643,595817.89204713,44208.0
31,LTC,2014-08-11,7.568,7.568,6.1,6.91991,628298.51593178,38478.0
32,LTC,2014-08-18,6.909,6.957,4.16,4.364,2474440.87994957,135440.0
33,LTC,2014-08-25,4.29488,6.19,3.333,5.39073,4985198.30548477,217405.0
34,LTC,2014-09-01,5.39073,5.89732,4.75,4.846,2179828.63310166,150192.0
35,LTC,2014-09-08,4.846,5.364,4.58586,5.136,1215211.25551416,57765.0
36,LTC,2014-09-15,5.136,5.555,4.6,5.46,781866.85002642,37369.0
37,LTC,2014-09-22,5.30051,5.4499,3.91,4.08636,2362993.258829139,116526.0
38,LTC,2014-09-29,4.2933,4.9999,4.07005,4.2183,901491.87969984,166300.0
39,LTC,2014-10-06,4.2183,4.5764,3.25,3.72,1153914.14929059,99314.0
40,LTC,2014-10-13,3.68412,4.52077,3.32273,3.9066,912501.57987745,73263.0
41,LTC,2014-10-20,3.9067,4.38,3.72795,3.947,747458.79014136,53861.0
42,LTC,2014-10-27,3.947,4.48491,3.34286,3.72,325250.75663068,31797.0
43,LTC,2014-11-03,3.71875,4.24803,3.15629,3.57,329924.01565687,28172.0
44,LTC,2014-11-10,3.57,3.96211,3.48888,3.536,218817.61742342,21109.0
45,LTC,2014-11-17,4.09,4.3778,3.75,3.8925,316762.63760562,33895.0
46,LTC,2014-11-24,3.9208,4.0399,3.3301,3.6,430889.50005137,37852.0
47,LTC,2014-12-01,3.6,3.93712,3.35443,3.524,258877.08236105,25954.0
48,LTC,2014-12-08,3.524,3.8223,3.42296,3.6448,257114.02106733,24240.0
49,LTC,2014-12-15,3.7127,3.81446,3.06932,3.40627,322516.18095747,26657.0
50,LTC,2014-12-22,3.412,3.525,2.59,2.817,617621.1709382,49328.0
51,LTC,2014-12-29,2.819,3.0545,2.63778,2.7,281161.57013457,25057.0
52,LTC,2015-01-05,2.702,2.78,1.9,1.96343,1186908.30176656,49030.0
53,LTC,2015-01-12,1.962,2.37299,1.635,1.73,916143.08861726,35704.0
54,LTC,2015-01-19,1.74,2.3,1.0557,1.315,3417719.44757456,162713.0
55,LTC,2015-01-26,1.352,2.867,1.2752,2.23,3115408.29002798,96327.0
56,LTC,2015-02-02,2.2641,2.53963,1.651,1.8092,3033827.60440471,110407.0
57,LTC,2015-02-09,1.8237,2.0293,1.6914,1.766,1114650.85570205,53557.0
58,LTC,2015-02-16,1.769,2.045,1.66,1.854,3076267.886559569,59521.0
59,LTC,2015-02-23,1.839,1.89,1.5,1.809,4880918.9439258,62160.0
60,LTC,2015-03-02,1.8,1.93279,1.72,1.893,3639844.9653988,55686.0
61,LTC,2015-03-09,1.895,2.02559,1.77137,1.886,6155791.411425388,79254.0
62,LTC,2015-03-16,1.88136,2.1386,1.881,2.017,4205097.41256412,71041.0
63,LTC,2015-03-23,2.018,2.07,1.6002,1.798,5757097.91730189,87267.0
64,LTC,2015-03-30,1.787,2.49,1.5,1.657,5350648.35701536,74971.0
65,LTC,2015-04-06,1.655,1.7325,1.607,1.702,4013635.45377018,70030.0
66,LTC,2015-04-13,1.68,1.72,0.9849182,1.47,4436755.09395872,89182.0
67,LTC,2015-04-20,1.475,1.75544,0.44001,1.387,4341431.82133864,87701.0
68,LTC,2015-04-27,1.3822,4.1,1.253,1.317,4135473.87429406,93599.0
69,LTC,2015-05-04,1.318,8.5,1.253,1.428,4988069.73128548,109224.0
70,LTC,2015-05-11,1.427,3.14,1.3589,1.437,4814272.35488495,85721.0
71,LTC,2015-05-18,1.445,1.62,1.3986,1.45111,2398065.15995331,73533.0
72,LTC,2015-05-25,1.452,1.98899,1.4348,1.821,2807914.08878973,88489.0
73,LTC,2015-06-01,1.8489,1.9159,1.61,1.636,2937544.09866088,84064.0
74,LTC,2015-06-08,1.6319,1.79335,1.562,1.725,3470347.53046931,78286.0
75,LTC,2015-06-15,1.73,2.42,1.71,2.0,3311182.70773978,79043.0
76,LTC,2015-06-22,2.00481,1000.0,1.9601,2.996,8277540.965609879,182644.0
77,LTC,2015-06-29,2.998,3.1899,2.619,3.1194,4026979.72250911,106583.0
78,LTC,2015-07-06,3.091,5.031,3.007,4.938,5995967.97376556,179173.0
79,LTC,2015-07-13,4.936,8.9666,2.908,5.23727,16039875.083425319,501279.0
80,LTC,2015-07-20,5.18332,5.351,3.18,3.707,7328859.196839208,251690.0
81,LTC,2015-07-27,3.707,6.55,3.5,4.7,4337819.73412376,195515.0
82,LTC,2015-08-03,4.56,10.0,3.742,4.187,4350808.087843609,214180.0
83,LTC,2015-08-10,4.1865,4.52,3.627,3.899,3417705.43650301,164623.0
84,LTC,2015-08-17,3.85861,4.46,3.7639,3.984,2514521.46648184,140820.0
85,LTC,2015-08-24,3.9757,4.0788,3.0,3.385,3191041.013231269,159484.0
86,LTC,2015-08-31,3.395,3.4,2.405,2.853,6213763.99868661,248796.0
87,LTC,2015-09-07,2.80889,3.239,2.512,3.064,2829836.43757414,131669.0
