,Currency,time_period_start,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,BTC,2015-01-01,322.31,335.84,310.971,316.71,12963.63510129,20985.0
1,BTC,2015-01-02,316.71,332.85,311.0,318.41,12568.15935029,20202.0
2,BTC,2015-01-03,318.41,323.88,276.11,282.0,90097.87793102,64187.0
3,BTC,2015-01-04,278.04,300.16,255.0,267.98,155505.19330483,91625.0
4,BTC,2015-01-05,267.88,305.09,252.31554,274.42,78860.75481812,52263.0
5,BTC,2015-01-06,271.862,296.9,260.00001,288.43,53510.45242616,41324.0
6,BTC,2015-01-07,288.36,303.83,269.00001,293.55,50215.15122763,39804.0
7,BTC,2015-01-08,293.524,298.58,282.01,285.64,45899.95630367,41510.0
8,BTC,2015-01-09,286.38,305.0,272.45,290.57,51793.39356677,46212.0
9,BTC,2015-01-10,285.983,304.31,267.301,277.43,65552.76090772,59540.0
10,BTC,2015-01-11,276.01,283.84,260.101,263.849,47569.85946486,52157.0
11,BTC,2015-01-12,262.954,292.0,257.2,267.42,48797.02350021,57436.0
12,BTC,2015-01-13,263.933,318.99,211.99,227.0,265419.0515981,172241.0
13,BTC,2015-01-14,220.682,263.36,110.2,171.41,465471.1288729,248090.0
14,BTC,2015-01-15,170.0,292.03,150.0,209.06,324129.07084662,200071.0
15,BTC,2015-01-16,209.05,249.0,189.0,208.5,143568.06496902,118948.0
16,BTC,2015-01-17,208.52,242.0,184.0,199.69,86597.85881662,73234.0
17,BTC,2015-01-18,201.08,234.8,192.0,211.03,106537.93222388,86227.0
18,BTC,2015-01-19,210.98,229.99,204.0,210.86,63557.72160022,69196.0
19,BTC,2015-01-20,215.17,229.9,201.98,208.528,84963.61658488,60678.0
20,BTC,2015-01-21,212.28,231.85,205.0,223.566,106911.59306315,66090.0
21,BTC,2015-01-22,229.82,257.73,216.59,234.7,108447.39082459,79632.0
22,BTC,2015-01-23,228.826,259.87,215.0,232.93,78202.70388234,58109.0
23,BTC,2015-01-24,233.37,259.67,215.0,244.524,75416.58618773,68630.0
24,BTC,2015-01-25,246.84,265.0,239.013,254.73,103318.93607108,78936.0
25,BTC,2015-01-26,253.29,343.0,240.62,276.01,324891.04104697,189075.0
26,BTC,2015-01-27,262.62,312.0,205.00002,265.09,130138.70910603,93440.0
27,BTC,2015-01-28,252.58,299.47,212.007,234.5,150668.11307602,98458.0
28,BTC,2015-01-29,234.49,268.56,213.014,233.76,118823.66909675,87669.0
29,BTC,2015-01-30,233.76,264.33,215.9,228.98,98341.87208489,68680.0
30,BTC,2015-01-31,226.45,387.7,212.699,220.68,91127.98485902,64786.0
31,BTC,2015-02-01,214.597,247.99,208.0,230.13,102467.53602681,88246.0
32,BTC,2015-02-02,230.16,261.25,218.013,233.341,95108.17764187,78775.0
33,BTC,2015-02-03,238.86,255.0,220.603,223.52,134039.14974761,99418.0
34,BTC,2015-02-04,228.77,244.99,217.802,227.0,88169.73804305,81171.0
35,BTC,2015-02-05,227.78,234.09,210.12,218.73,74920.61886781,63883.0
36,BTC,2015-02-06,218.6,245.0,210.59,222.65,70550.069169,68307.0
37,BTC,2015-02-07,223.2,243.87,217.703,228.8,64876.81264414,58522.0
38,BTC,2015-02-08,228.8,244.9,217.28,224.98,56860.21285637,54490.0
39,BTC,2015-02-09,223.92,248.83,212.666,220.48,92859.60518415,73961.0
40,BTC,2015-02-10,222.01,234.99,213.0,222.83,58653.23869683,57221.0
41,BTC,2015-02-11,222.83,227.94,205.0,219.55,53992.43308117,53749.0
42,BTC,2015-02-12,222.08,226.42,214.39,224.85,47079.96523408,47826.0
43,BTC,2015-02-13,222.39,244.8,207.0,239.37,136999.39026494,93413.0
44,BTC,2015-02-14,236.93,263.63,228.0,256.64,165675.73494477,99470.0
45,BTC,2015-02-15,256.64,271.46,220.0,235.54,234456.66036312,120839.0
46,BTC,2015-02-16,232.0,258.1,224.266,231.605,117582.75492116,82226.0
47,BTC,2015-02-17,234.21,265.63,229.865,239.986,116737.710237,83024.0
48,BTC,2015-02-18,245.97,249.49,228.01,236.27,106987.72806436,76236.0
49,BTC,2015-02-19,236.26,254.54,231.06,235.3,74166.56896363,61471.0
50,BTC,2015-02-20,240.2,252.32,231.12,244.75,93659.70164976,66831.0
51,BTC,2015-02-21,238.007,264.0,235.753,247.19,47909.21335804,46104.0
52,BTC,2015-02-22,244.54,260.0,224.721,236.5,79101.27557315,64230.0
53,BTC,2015-02-23,236.83,247.0,225.0,239.49,65998.80509497,67976.0
54,BTC,2015-02-24,239.63,244.99,227.776,232.1,53997.37601962,60637.0
55,BTC,2015-02-25,232.1,243.84,228.782,237.4,44267.64409352,50567.0
56,BTC,2015-02-26,241.63,249.7,228.0,236.8,45077.865393,49850.0
57,BTC,2015-02-27,237.21,265.22,230.54,246.303,172431.6822012,124055.0
58,BTC,2015-02-28,254.65,257.4,243.68,255.61,50415.57952258,59940.0
59,BTC,2015-03-01,256.04,266.91,238.0,253.389,93905.5461573,76756.0
60,BTC,2015-03-02,252.682,279.99798,247.0,277.41,146538.02793142,102388.0
61,BTC,2015-03-03,277.3,303.01,262.001,283.25,171247.21807993,117367.0
62,BTC,2015-03-04,283.8,290.99,261.0,268.651,141692.53612573,106755.0
