,Currency,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,XLM,2017-01-23,0.00225,0.003,0.00225,0.002253,2199004.06316703,38.0
1,XLM,2017-01-30,0.002257,0.002398,0.002056,0.0022,10217812.36068838,135.0
2,XLM,2017-02-06,0.002342,0.002497,0.002149,0.002442,2785368.23239588,107.0
3,XLM,2017-02-13,0.002382,0.002382,0.001892,0.002168,3665720.12711053,123.0
4,XLM,2017-02-20,0.001892,0.002361,0.001892,0.001985,316144.33803543,15.0
5,XLM,2017-02-27,0.001985,0.002367,0.001732,0.001884,7835444.86723958,133.0
6,XLM,2017-03-06,0.001818,0.001934,0.001691,0.001742,5399638.61618337,115.0
7,XLM,2017-03-13,0.001738,0.0021,0.001401,0.001767,9198081.68003577,336.0
8,XLM,2017-03-20,0.001771,0.002098,0.001673,0.001701,8613919.27340317,170.0
9,XLM,2017-03-27,0.001855,0.002396,0.001701,0.001991,21514217.30082631,325.0
10,XLM,2017-04-03,0.001999,0.0051,0.001837,0.004405,45009964.26773828,1175.0
11,XLM,2017-04-10,0.004411,0.00509,0.002501,0.002769,33814053.33527396,1360.0
12,XLM,2017-04-17,0.002745,0.003989,0.0027,0.003623,13768553.9387084,398.0
13,XLM,2017-04-24,0.003679,0.003799,0.003,0.003502,9993090.03473317,377.0
14,XLM,2017-05-01,0.00353,0.0055,0.00281,0.004805,14557118.23552344,611.0
15,XLM,2017-05-08,0.004805,0.052,0.0045,0.039,251034940.00995868,13129.0
16,XLM,2017-05-15,0.039,0.06,0.019163,0.038346,179791835.54826826,14255.0
17,XLM,2017-05-22,0.038502,0.067,0.037666,0.06,143527288.84520295,22991.0
18,XLM,2017-05-29,0.060844,0.066,0.02,0.035384,110651205.06228346,32578.0
19,XLM,2017-06-05,0.035207,0.044,0.026,0.0398,75673041.02834015,21872.0
20,XLM,2017-06-12,0.0398,0.056493,0.033,0.04417,69653813.39090522,23053.0
21,XLM,2017-06-19,0.043173,0.044757,0.03,0.038,38880714.84826078,14050.0
22,XLM,2017-06-26,0.038,0.044899,0.03,0.03171,26617136.48063919,10957.0
23,XLM,2017-07-03,0.03171,0.035,0.02201,0.025734,47071439.38918785,9306.0
24,XLM,2017-07-10,0.025772,0.028099,0.0151,0.019213,31799065.2200345,4457.0
